date,score
2-Jan-19,0.3379
3-Jan-19,0.2111
6-Jan-19,0.5551
8-Jan-19,0.44055
9-Jan-19,0.6871
11-Jan-19,-0.0839
12-Jan-19,0.0852
14-Jan-19,0.173
15-Jan-19,0.003133333
16-Jan-19,-0.15485
17-Jan-19,0.6448
22-Jan-19,0.1824
23-Jan-19,0.45655
24-Jan-19,-0.0001
25-Jan-19,0.5472
28-Jan-19,0.2589
29-Jan-19,0.4524
30-Jan-19,-0.1866
31-Jan-19,0.419
1-Feb-19,0.5639
4-Feb-19,0.0894
6-Feb-19,0.4349
7-Feb-19,0.0518
11-Feb-19,0.2074
12-Feb-19,0.4246
13-Feb-19,0.5639
14-Feb-19,0.5506
15-Feb-19,-0.0105
19-Feb-19,0.19
20-Feb-19,0.147
21-Feb-19,-0.1875
26-Feb-19,0.15905
27-Feb-19,0.0912
28-Feb-19,-0.1283
1-Mar-19,-0.0354
4-Mar-19,0.413
5-Mar-19,0.1551
11-Mar-19,0.18282
12-Mar-19,-0.090533333
14-Mar-19,0.210372727
15-Mar-19,0.453354545
16-Mar-19,0.4567
18-Mar-19,-0.17265
19-Mar-19,0.395475
20-Mar-19,-0.126
21-Mar-19,0.0271
23-Mar-19,0.772
26-Mar-19,0.099
27-Mar-19,0.62155
28-Mar-19,0.829
29-Mar-19,0.2817
30-Mar-19,0.7961
1-Apr-19,0.7493
3-Apr-19,0.125333333
5-Apr-19,0.0065
7-Apr-19,-0.0936
10-Apr-19,0.1035
11-Apr-19,0.1599
12-Apr-19,0.2605
15-Apr-19,-0.1506
16-Apr-19,0.0469
17-Apr-19,0.4572
18-Apr-19,0.7972
22-Apr-19,0.1699
25-Apr-19,0.0518
26-Apr-19,0.1151
29-Apr-19,0
2-May-19,0.19625
3-May-19,0.3123
8-May-19,0.6493
9-May-19,0.6848
10-May-19,-0.1875
15-May-19,0.5457
16-May-19,0.723
17-May-19,-0.1005
21-May-19,0.2064
22-May-19,0.4037
23-May-19,0.2828
24-May-19,0.28435
28-May-19,0.05835
29-May-19,0.1745
30-May-19,0.1824
31-May-19,0.098
3-Jun-19,0.3823
4-Jun-19,0.3069
5-Jun-19,0.1191
7-Jun-19,0.2605
12-Jun-19,0.09015
14-Jun-19,0.02305
16-Jun-19,-0.0357
18-Jun-19,0.32412
19-Jun-19,0.27195
20-Jun-19,0.57295
21-Jun-19,0.066833333
23-Jun-19,0.6685
24-Jun-19,-0.1101
25-Jun-19,0.219466667
26-Jun-19,0.51145
27-Jun-19,0.0235
28-Jun-19,0.421
30-Jun-19,0.089
2-Jul-19,0.4494
3-Jul-19,0.01185
4-Jul-19,0.7767
5-Jul-19,-0.0652
7-Jul-19,0.3392
9-Jul-19,0.17235
10-Jul-19,-0.1866
15-Jul-19,-0.0197
16-Jul-19,0.1824
18-Jul-19,0.0551
19-Jul-19,-0.1291
22-Jul-19,0.3632
23-Jul-19,0.377
24-Jul-19,0.2111
25-Jul-19,0.6498
26-Jul-19,-0.1234
27-Jul-19,0.3092
29-Jul-19,0.6445
30-Jul-19,0.2675
3-Aug-19,0.5012
5-Aug-19,0.0406
6-Aug-19,0.16405
8-Aug-19,0.1824
14-Aug-19,0.2257
15-Aug-19,-0.00565
22-Aug-19,-0.1866
23-Aug-19,0.4576
26-Aug-19,0.0781
28-Aug-19,0.3303
4-Sep-19,0.4633
9-Sep-19,0.01455
10-Sep-19,0.3069
11-Sep-19,0.12455
13-Sep-19,0.0937
14-Sep-19,-0.0357
15-Sep-19,0.2847
16-Sep-19,0.52455
17-Sep-19,0.2712875
18-Sep-19,0.124292857
23-Sep-19,0.6062
24-Sep-19,0.2111
26-Sep-19,-0.18935
27-Sep-19,0.0094
28-Sep-19,0.2104
30-Sep-19,-0.0282
1-Oct-19,0.5282
3-Oct-19,0.0464
4-Oct-19,0.3629
8-Oct-19,0.7627
10-Oct-19,0.6162
11-Oct-19,0.2327
14-Oct-19,-0.1875
16-Oct-19,0.3523
17-Oct-19,0.4
22-Oct-19,0.0078
23-Oct-19,-0.0354
24-Oct-19,0.080166667
25-Oct-19,0.1304
28-Oct-19,-0.0363
2-Nov-19,0.4497
4-Nov-19,0.4101
5-Nov-19,0.370833333
7-Nov-19,-0.0227
13-Nov-19,0.446866667
15-Nov-19,-0.1875
17-Nov-19,0.5178
18-Nov-19,0.4282
25-Nov-19,0.2684
26-Nov-19,0.2344
27-Nov-19,0.2369
29-Nov-19,0.3822
1-Dec-19,0.6462
3-Dec-19,0.12495
5-Dec-19,0.1527
6-Dec-19,0.07615
8-Dec-19,0.1753
9-Dec-19,0.18535
10-Dec-19,-0.2292
11-Dec-19,-0.111466667
12-Dec-19,0.436842857
13-Dec-19,0.17
14-Dec-19,0.167533333
16-Dec-19,0.0248
17-Dec-19,0.377
19-Dec-19,0.7272
20-Dec-19,0.7413
23-Dec-19,0.13955
26-Dec-19,0.8021
27-Dec-19,0.5143
30-Dec-19,0.4821
31-Dec-19,0.0195
4-Jan-20,-0.3607
6-Jan-20,0.0743
7-Jan-20,0.3116
8-Jan-20,0.2815
9-Jan-20,-0.0915
10-Jan-20,0.4748
13-Jan-20,0.3228
15-Jan-20,-0.1587
17-Jan-20,0.06655
18-Jan-20,0.7708
23-Jan-20,0.289833333
24-Jan-20,0.4335
25-Jan-20,0.156
26-Jan-20,0.063
27-Jan-20,-0.2515
30-Jan-20,0.23095
5-Feb-20,0.1821
6-Feb-20,0.7703
7-Feb-20,0.41885
9-Feb-20,0.29355
10-Feb-20,0.1855
13-Feb-20,-0.1866
14-Feb-20,0.2327
18-Feb-20,0.0606
19-Feb-20,0.2634
21-Feb-20,0.1378
23-Feb-20,0.3092
24-Feb-20,0.1989
25-Feb-20,0.02285
26-Feb-20,0.57915
27-Feb-20,0.134633333
2-Mar-20,0.00396
3-Mar-20,0.02835
4-Mar-20,0.33345
5-Mar-20,0.4892
8-Mar-20,0.2333
9-Mar-20,0.2145
10-Mar-20,0.1824
11-Mar-20,0.382633333
12-Mar-20,0.22216
13-Mar-20,0.2439
17-Mar-20,0.641366667
19-Mar-20,-0.022125
20-Mar-20,0.2481
25-Mar-20,-0.2705
26-Mar-20,0.4248
27-Mar-20,0.45695
31-Mar-20,0.0198
2-Apr-20,0.0533
6-Apr-20,0.4513
7-Apr-20,0.1824
9-Apr-20,0.13245
13-Apr-20,0.3182
16-Apr-20,0.2111
17-Apr-20,-0.1875
22-Apr-20,0.1793
23-Apr-20,0.013
24-Apr-20,-0.0275
25-Apr-20,0.156
27-Apr-20,-0.0645
28-Apr-20,0.1507
29-Apr-20,0.2156
1-May-20,0.3337
2-May-20,0.4785
5-May-20,0.1758
6-May-20,0.3123
11-May-20,0.4337
14-May-20,0.0663
16-May-20,0.3351
17-May-20,0
18-May-20,0.2137
22-May-20,0.0916
26-May-20,0.2835
27-May-20,0.0899
31-May-20,0.1517
1-Jun-20,-0.2479
4-Jun-20,0.3196
7-Jun-20,0.1517
8-Jun-20,0.3039
9-Jun-20,0.110785714
11-Jun-20,0.32772
12-Jun-20,0.0723
15-Jun-20,0.5114
16-Jun-20,0.33245
17-Jun-20,0.3209
18-Jun-20,-0.0858
19-Jun-20,0.4866
22-Jun-20,0.45095
23-Jun-20,0.1503
24-Jun-20,-0.067
25-Jun-20,-0.12045
26-Jun-20,0.4474
1-Jul-20,0.3841
2-Jul-20,0.4785
5-Jul-20,0.1452
6-Jul-20,0.1699
7-Jul-20,0.6557
8-Jul-20,0.0243
13-Jul-20,0.6886
14-Jul-20,-0.073966667
15-Jul-20,0.4253
16-Jul-20,0.2658
18-Jul-20,0.194
20-Jul-20,0.1934
21-Jul-20,0.294766667
22-Jul-20,-0.0354
24-Jul-20,0.44765
25-Jul-20,0.3418
29-Jul-20,0.4785
30-Jul-20,0.130533333
5-Aug-20,0.2628
10-Aug-20,0.2897
12-Aug-20,0.2111
14-Aug-20,0.09765
15-Aug-20,0.1951
17-Aug-20,0.372366667
18-Aug-20,0.27565
19-Aug-20,0.13845
21-Aug-20,0.5021
25-Aug-20,0.3891
26-Aug-20,0.287625
27-Aug-20,0.1144
28-Aug-20,0.56
30-Aug-20,0.2722
1-Sep-20,0.3247
3-Sep-20,-0.13942
4-Sep-20,0.3498
5-Sep-20,0.5028
8-Sep-20,0.032333333
9-Sep-20,0.143675
10-Sep-20,0.07942
13-Sep-20,0.2182
14-Sep-20,0.31755
15-Sep-20,0.269
16-Sep-20,0.42798
17-Sep-20,0.279471429
18-Sep-20,0.327866667
21-Sep-20,0.3577
22-Sep-20,0.4785
24-Sep-20,0.1622
25-Sep-20,0.0239
28-Sep-20,0.329683333
30-Sep-20,-0.0843
6-Oct-20,0.7726
7-Oct-20,0.5597
9-Oct-20,0.6327
12-Oct-20,0.44695
15-Oct-20,0.3094
18-Oct-20,-0.1465
19-Oct-20,0.5398
21-Oct-20,0.6791
24-Oct-20,-0.0854
27-Oct-20,0.3794
28-Oct-20,0.369066667
29-Oct-20,0.3044
2-Nov-20,0.0979
4-Nov-20,0.347733333
5-Nov-20,0.195533333
9-Nov-20,0.198633333
10-Nov-20,0.025975
12-Nov-20,0.4785
13-Nov-20,0.7438
16-Nov-20,0.4975
18-Nov-20,0.03285
19-Nov-20,0.7651
20-Nov-20,0.254325
23-Nov-20,0.487
25-Nov-20,0.15185
26-Nov-20,-0.0146
27-Nov-20,0.4727
28-Nov-20,0.172
30-Nov-20,-0.03805
1-Dec-20,0.2693
2-Dec-20,0.332
3-Dec-20,0.2577
4-Dec-20,0.2054
6-Dec-20,0.0776
7-Dec-20,0.153733333
8-Dec-20,0.3775
9-Dec-20,0.35155
10-Dec-20,0.40455
11-Dec-20,-0.0028
13-Dec-20,0.2187
14-Dec-20,0.206
15-Dec-20,0.0802
16-Dec-20,0.2135
17-Dec-20,0.43855
18-Dec-20,0.5245
22-Dec-20,0.355
23-Dec-20,0.2272
24-Dec-20,0.0452
30-Dec-20,0.21605
31-Dec-20,0.2238
1-Jan-21,0.5743
4-Jan-21,0.4761
5-Jan-21,0.1985
6-Jan-21,0.1714
7-Jan-21,0.1527
8-Jan-21,-0.0528
9-Jan-21,0.3052
13-Jan-21,0.1819
15-Jan-21,0.034
18-Jan-21,0.5796
19-Jan-21,-0.1866
20-Jan-21,0.3901
21-Jan-21,0.2111
22-Jan-21,0.5382
25-Jan-21,0.0731
27-Jan-21,0.6701
28-Jan-21,0.33045
29-Jan-21,0.12715
1-Feb-21,0.2424
2-Feb-21,0.2771
5-Feb-21,0.376733333
7-Feb-21,0.6741
8-Feb-21,0.344566667
12-Feb-21,0.3817
16-Feb-21,0.0037
17-Feb-21,0.7577
18-Feb-21,0.4785
19-Feb-21,0.5392
22-Feb-21,0.1699
23-Feb-21,0.21395
24-Feb-21,0.47205
25-Feb-21,0.125333333
26-Feb-21,0.4776
28-Feb-21,0.2533
1-Mar-21,0.0481
2-Mar-21,0.2265
4-Mar-21,0.2097
8-Mar-21,-0.08785
9-Mar-21,0.1782
10-Mar-21,0.144
11-Mar-21,0.474
14-Mar-21,0.129
15-Mar-21,0.0543
16-Mar-21,0.2111
17-Mar-21,0.1672
18-Mar-21,0.4785
20-Mar-21,0.4401
21-Mar-21,0.30075
