date,score
3-Jan-19,0.3719
4-Jan-19,0.1578
8-Jan-19,0.5237
9-Jan-19,0.0768
10-Jan-19,0.045633333
11-Jan-19,0.8075
14-Jan-19,0.518
16-Jan-19,0.25025
18-Jan-19,0.5739
22-Jan-19,0.7934
23-Jan-19,0.2409
24-Jan-19,0.5576
31-Jan-19,0.36185
5-Feb-19,0.7032
6-Feb-19,0.2832
7-Feb-19,0.346925
11-Feb-19,0.3773
13-Feb-19,0.4073
15-Feb-19,0.319
18-Feb-19,0.4116
20-Feb-19,0.1766
21-Feb-19,0.312
22-Feb-19,0.17735
25-Feb-19,0.0504
28-Feb-19,0.1299
4-Mar-19,0.3593
5-Mar-19,0.6791
7-Mar-19,-0.121
14-Mar-19,0.45145
17-Mar-19,-0.3452
27-Mar-19,0.4553
10-May-19,-0.0966
14-May-19,0.3605
17-May-19,-0.0966
26-May-19,0.0543
28-May-19,-0.3399
30-May-19,0.182
31-May-19,0.1834
20-Jun-19,0.7167
3-Jul-19,0.6239
5-Jul-19,0.1655
10-Jul-19,0.0028
11-Jul-19,0.6399
16-Jul-19,0.3557
18-Jul-19,0.2757
21-Jul-19,0.6363
2-Aug-19,0.2327
5-Aug-19,0.1625
15-Aug-19,0.2328
20-Aug-19,0.4971
21-Aug-19,0.3653
23-Aug-19,0.3319
25-Aug-19,-0.1607
28-Aug-19,0.5409
29-Aug-19,0.26895
30-Aug-19,0.27122
3-Sep-19,0.5865
4-Sep-19,0.4633
5-Sep-19,0.4667
6-Sep-19,0.1882
9-Sep-19,0.1113
10-Sep-19,0.5117
8-Oct-19,0.8032
11-Oct-19,-0.259
14-Oct-19,0.00555
23-Oct-19,0.4129
1-Nov-19,0.211
5-Nov-19,0.1824
14-Nov-19,0.1824
19-Nov-19,0.1921
24-Nov-19,0.683
26-Nov-19,0.386966667
27-Nov-19,0.4835
2-Dec-19,0.1204
4-Dec-19,0.25425
9-Dec-19,0.5136
11-Dec-19,-0.1288
13-Dec-19,0.2327
16-Dec-19,0.22515
17-Dec-19,0.1933
7-Jan-20,0.8047
8-Jan-20,0.4405
10-Jan-20,0.0464
15-Jan-20,0.2247
16-Jan-20,0.5493
27-Jan-20,-0.0403
9-Feb-20,0.043
12-Feb-20,0.1824
18-Feb-20,0.2263
26-Feb-20,0.0922
27-Feb-20,0.25426
28-Feb-20,0.1218
29-Feb-20,0.6929
3-Mar-20,0.6629
4-Mar-20,0.71905
11-Mar-20,0.3996
13-Mar-20,0.4498
20-Mar-20,-0.2572
23-Mar-20,0.2318
24-Mar-20,0.0573
26-Mar-20,0.34205
27-Mar-20,-0.3394
31-Mar-20,0.3069
2-Apr-20,0.2391
3-Apr-20,0.1578
5-Apr-20,0.2201
6-Apr-20,0.0427
7-Apr-20,-0.016633333
8-Apr-20,0.1599
9-Apr-20,0.6705
10-Apr-20,0.4584
13-Apr-20,0.071
16-Apr-20,-0.2829
1-May-20,0.1655
4-May-20,0.6549
7-May-20,0.494
17-May-20,0.5107
19-May-20,0.7709
24-May-20,-0.0737
28-May-20,0.0122
29-May-20,0.418475
31-May-20,0.2102
3-Jun-20,0.4646
4-Jun-20,0.2424
5-Jun-20,0.2593
14-Jun-20,0.0419
19-Jun-20,0.2605
23-Jun-20,0.494533333
24-Jun-20,0.107428571
26-Jun-20,0.3969
