date,score
14-Apr-21,0.428028571
13-Apr-21,0.399042857
12-Apr-21,0.306785714
11-Apr-21,0.50515
10-Apr-21,0.1855
9-Apr-21,0.243654545
8-Apr-21,0.323
7-Apr-21,0.261316667
6-Apr-21,0.1661
5-Apr-21,0.139833333
4-Apr-21,0.1301
3-Apr-21,0.35895
2-Apr-21,0.541725
1-Apr-21,0.10875
31-Mar-21,0.41615
30-Mar-21,0.212925
29-Mar-21,0.406433333
28-Mar-21,0.1208
27-Mar-21,0.7176
26-Mar-21,0.3065
25-Mar-21,0.0045375
24-Mar-21,0.069033333
23-Mar-21,0.277411111
22-Mar-21,0.096333333
21-Mar-21,-0.1986
20-Mar-21,0.00635
19-Mar-21,0.3428
18-Mar-21,-0.0253875
17-Mar-21,0.008954545
16-Mar-21,0.119342857
15-Mar-21,0.33284
14-Mar-21,0.307
13-Mar-21,-0.0804
12-Mar-21,0.048521429
11-Mar-21,0.416
10-Mar-21,0.29845
9-Mar-21,0.1906
8-Mar-21,0.223933333
7-Mar-21,0.0767
6-Mar-21,0.12675
5-Mar-21,0.02208
4-Mar-21,0.27764
3-Mar-21,0.20136
2-Mar-21,-0.10312
1-Mar-21,0.42584
28-Feb-21,0.726
27-Feb-21,0.3166
26-Feb-21,0.1534875
25-Feb-21,0.117258333
24-Feb-21,0.013
23-Feb-21,0.090758333
22-Feb-21,0.266855556
21-Feb-21,0.19705
19-Feb-21,0.32616
18-Feb-21,0.22076
17-Feb-21,0.39495
16-Feb-21,0.3017
15-Feb-21,0.0041
13-Feb-21,0.26185
12-Feb-21,0.339611111
11-Feb-21,-0.0189
10-Feb-21,0.31645
9-Feb-21,0.248133333
8-Feb-21,0.4383
7-Feb-21,0.0089
6-Feb-21,0.38155
5-Feb-21,0.055875
4-Feb-21,0.33481
3-Feb-21,0.593688889
2-Feb-21,0.3521
1-Feb-21,0.48238
30-Jan-21,0.4258
29-Jan-21,0.367241667
28-Jan-21,0.330216667
27-Jan-21,0.092147368
26-Jan-21,0.11746
25-Jan-21,0.198833333
24-Jan-21,0.474966667
23-Jan-21,0.272728571
22-Jan-21,0.3685
21-Jan-21,0.26512
20-Jan-21,0.269455556
19-Jan-21,0.208533333
18-Jan-21,0.216633333
17-Jan-21,0.17195
16-Jan-21,0.1379
15-Jan-21,0.263925
14-Jan-21,0.18486
13-Jan-21,0.344122222
12-Jan-21,0.28658
11-Jan-21,0.2913
10-Jan-21,0.2079
9-Jan-21,0.3818
8-Jan-21,0.157766667
7-Jan-21,0.37218
6-Jan-21,0.34235
5-Jan-21,0.37875
4-Jan-21,0.36084
3-Jan-21,0.4352
2-Jan-21,-0.0485
1-Jan-21,0.4368
31-Dec-20,0.297192857
30-Dec-20,0.445955556
29-Dec-20,0.277209091
28-Dec-20,0.3409
27-Dec-20,0.2657
26-Dec-20,0.5992
25-Dec-20,0.7461
24-Dec-20,0.062133333
23-Dec-20,0.38525
22-Dec-20,0.312828571
21-Dec-20,0.2836
20-Dec-20,0.34782
19-Dec-20,0.365833333
18-Dec-20,0.1314
17-Dec-20,0.3970375
16-Dec-20,0.24024
15-Dec-20,0.1856
14-Dec-20,0.028775
13-Dec-20,0.4607
12-Dec-20,0.2792
11-Dec-20,0.158842857
10-Dec-20,0.19765
9-Dec-20,0.3805
8-Dec-20,0.247925
7-Dec-20,0.414042857
6-Dec-20,0.455666667
5-Dec-20,0.0594
4-Dec-20,0.31048
3-Dec-20,0.3703
2-Dec-20,0.132
1-Dec-20,-0.166566667
30-Nov-20,0.238325
28-Nov-20,0.101
27-Nov-20,0.417966667
26-Nov-20,0.168466667
25-Nov-20,0.056975
24-Nov-20,0.402683333
23-Nov-20,0.1248375
22-Nov-20,-0.0161
21-Nov-20,0.5763
20-Nov-20,0.26817
19-Nov-20,0.45162
18-Nov-20,-0.1368
17-Nov-20,0.36021
16-Nov-20,0.60665
15-Nov-20,0.58545
14-Nov-20,0.1222
13-Nov-20,0.379342857
12-Nov-20,0.345686667
11-Nov-20,0.364257143
10-Nov-20,0.276292857
9-Nov-20,0.571659091
8-Nov-20,-0.0714
6-Nov-20,0.14314
5-Nov-20,0.193925
4-Nov-20,0.4365875
3-Nov-20,0.2855875
2-Nov-20,0.2656
1-Nov-20,0.26465
31-Oct-20,-0.0411
30-Oct-20,0.12135
29-Oct-20,0.131938462
28-Oct-20,0.33188
27-Oct-20,0.125175
26-Oct-20,0.44285
25-Oct-20,0.4429
24-Oct-20,0.194785714
23-Oct-20,0.364566667
21-Oct-20,0.128981818
20-Oct-20,0.276095455
19-Oct-20,0.094286957
18-Oct-20,0.0741
17-Oct-20,0.251166667
16-Oct-20,0.631266667
15-Oct-20,0.21235
14-Oct-20,0.29874
13-Oct-20,0.300241667
12-Oct-20,0.27605
11-Oct-20,0.0659
10-Oct-20,0.23752
9-Oct-20,0.252928571
8-Oct-20,0.38095
7-Oct-20,0.37037
6-Oct-20,-0.576
5-Oct-20,0.332857143
4-Oct-20,0.7127
3-Oct-20,-0.07195
2-Oct-20,0.348085714
1-Oct-20,0.463730769
30-Sep-20,0.18914
29-Sep-20,0.4661
28-Sep-20,0.219235
27-Sep-20,-0.10675
26-Sep-20,0.17098
25-Sep-20,-0.005783333
24-Sep-20,0.140908333
23-Sep-20,0.2146
22-Sep-20,0.4309
21-Sep-20,-0.04748
20-Sep-20,0.51675
19-Sep-20,0.4159
18-Sep-20,0.139842857
17-Sep-20,0.109528571
16-Sep-20,0.301011111
15-Sep-20,-0.127066667
14-Sep-20,0.21966
13-Sep-20,0.4905
12-Sep-20,0.17115
11-Sep-20,0.36687
10-Sep-20,-0.05994
9-Sep-20,0.1111125
8-Sep-20,-0.06874
7-Sep-20,0.3353
5-Sep-20,-0.1292
4-Sep-20,0.3107
3-Sep-20,0.1122
2-Sep-20,0.313530769
1-Sep-20,0.28425
31-Aug-20,0.42535
29-Aug-20,0.0851
28-Aug-20,0.6274
27-Aug-20,0.1546875
26-Aug-20,0.3449
25-Aug-20,0.5727
24-Aug-20,-0.020233333
23-Aug-20,0.5022
22-Aug-20,0.043833333
21-Aug-20,-0.2126
20-Aug-20,0.13045
19-Aug-20,0.412571429
18-Aug-20,0.304792857
17-Aug-20,0.2656
16-Aug-20,0.448
15-Aug-20,0.0964
14-Aug-20,0.00175
13-Aug-20,0.148
12-Aug-20,0.394933333
11-Aug-20,0.293161538
10-Aug-20,0.284985714
9-Aug-20,0.4618
8-Aug-20,0.161433333
7-Aug-20,0.239385714
6-Aug-20,0.19498
5-Aug-20,0.32995
4-Aug-20,0.206254545
3-Aug-20,0.313333333
2-Aug-20,0.338366667
1-Aug-20,-0.1964
31-Jul-20,0.23295
30-Jul-20,0.199433333
29-Jul-20,0.4334
28-Jul-20,0.2872125
27-Jul-20,0.25244
26-Jul-20,0.2238
25-Jul-20,0.2858
24-Jul-20,0.172842857
23-Jul-20,-0.2241
22-Jul-20,0.38198
21-Jul-20,0.1993
20-Jul-20,0.338775
19-Jul-20,0.037933333
18-Jul-20,0.242
17-Jul-20,0.119903125
16-Jul-20,0.189756522
15-Jul-20,0.344184615
14-Jul-20,0.155517647
13-Jul-20,0.3259875
12-Jul-20,0.2143
11-Jul-20,0.53085
10-Jul-20,0.285081818
9-Jul-20,0.132328571
8-Jul-20,0.243158333
7-Jul-20,0.149685714
6-Jul-20,0.009328571
5-Jul-20,0.03395
4-Jul-20,0.301
3-Jul-20,0.59265
2-Jul-20,0.179266667
1-Jul-20,0.295623077
30-Jun-20,0.29828125
29-Jun-20,0.0819
28-Jun-20,0.1336
27-Jun-20,-0.2274
26-Jun-20,0.06378
25-Jun-20,0.25838
24-Jun-20,0.0435
23-Jun-20,0.253675
22-Jun-20,0.43546
21-Jun-20,-0.041733333
20-Jun-20,0.07376
19-Jun-20,0.238766667
18-Jun-20,0.16028
17-Jun-20,0.388133333
16-Jun-20,0.20322
15-Jun-20,0.3785
14-Jun-20,0.27715
12-Jun-20,0.09478
11-Jun-20,0.351975
10-Jun-20,0.52225
9-Jun-20,0.343616667
8-Jun-20,0.4844
6-Jun-20,0.2518
5-Jun-20,0.36955
4-Jun-20,0.317327273
3-Jun-20,0.00932
2-Jun-20,-0.166283333
1-Jun-20,0.098242857
31-May-20,0.43615
30-May-20,0.5876
29-May-20,0.24635
28-May-20,0.1504
27-May-20,0.21094
26-May-20,0.085533333
25-May-20,0.4874
24-May-20,0.2433
23-May-20,0.01705
22-May-20,0.04944
21-May-20,0.228283333
20-May-20,0.103463636
19-May-20,0.248875
18-May-20,0.347325
17-May-20,0.23975
16-May-20,0.3838
15-May-20,0.2110125
14-May-20,0.124214286
13-May-20,0.25225
12-May-20,0.2648625
11-May-20,0.15315
10-May-20,0.17914
9-May-20,0.165933333
8-May-20,0.390975
7-May-20,0.15595
6-May-20,0.098433333
5-May-20,0.286833333
4-May-20,0.144822222
3-May-20,0.1785
2-May-20,-0.5152
1-May-20,0.23524
30-Apr-20,-0.083213333
29-Apr-20,0.2983
28-Apr-20,0.1553
27-Apr-20,0.236333333
26-Apr-20,0.30082
25-Apr-20,0.258775
24-Apr-20,0.30065625
23-Apr-20,0.26208125
22-Apr-20,0.153637037
21-Apr-20,0.110443478
20-Apr-20,0.00925
19-Apr-20,0.302733333
18-Apr-20,0.08775
17-Apr-20,0.316706667
16-Apr-20,0.121627273
15-Apr-20,0.189235294
14-Apr-20,0.248992857
