date,score
2-Jan-19,0.34175
7-Jan-19,0.1126
8-Jan-19,0.31666
9-Jan-19,0.0119
10-Jan-19,0.1058
11-Jan-19,0.28285
14-Jan-19,0.377233333
15-Jan-19,0.0421
16-Jan-19,0.148775
23-Jan-19,0.181
24-Jan-19,-0.1866
28-Jan-19,0.2273
30-Jan-19,0.2382
31-Jan-19,0.421025
1-Feb-19,0.08085
7-Feb-19,0.2942
11-Feb-19,-0.0915
12-Feb-19,0.4954
13-Feb-19,0.5986
14-Feb-19,0.404233333
15-Feb-19,0.3857
18-Feb-19,-0.1094
19-Feb-19,0.5469
20-Feb-19,-0.1866
21-Feb-19,0.4163
23-Feb-19,0.3924
25-Feb-19,0.234866667
26-Feb-19,0.3484
27-Feb-19,0.536466667
28-Feb-19,-0.3893
1-Mar-19,0.15675
5-Mar-19,0.117433333
6-Mar-19,0.4128
7-Mar-19,0.4128
8-Mar-19,0.27548
9-Mar-19,0.6536
11-Mar-19,0.32302
12-Mar-19,0.10674
13-Mar-19,0.188425
14-Mar-19,0.281418182
15-Mar-19,0.256745455
18-Mar-19,0.049483333
19-Mar-19,0.22485
20-Mar-19,0.2992
21-Mar-19,0.1228
22-Mar-19,0.1368
23-Mar-19,0.2063
25-Mar-19,-0.0354
26-Mar-19,0.275325
27-Mar-19,0.3414
28-Mar-19,-0.299
29-Mar-19,-0.695
30-Mar-19,0.4521
3-Apr-19,-0.172266667
8-Apr-19,0.38435
9-Apr-19,0.5512
10-Apr-19,0.1035
12-Apr-19,0.37355
16-Apr-19,0.0529
18-Apr-19,0.4163
22-Apr-19,0.785
23-Apr-19,0.2569
26-Apr-19,0.1233
29-Apr-19,0.0337
4-May-19,0.4954
8-May-19,0.6493
15-May-19,0.3091
16-May-19,0.0992
17-May-19,-0.3518
22-May-19,0.2728
23-May-19,0.1824
29-May-19,-0.3518
30-May-19,0.0449
5-Jun-19,-0.042
6-Jun-19,0.249266667
10-Jun-19,0.153
11-Jun-19,0.0904
12-Jun-19,-0.166
14-Jun-19,-0.2591
16-Jun-19,-0.0357
17-Jun-19,0.3053
18-Jun-19,0.1824
19-Jun-19,0.258766667
20-Jun-19,0.29365
24-Jun-19,-0.3901
25-Jun-19,0.1205
1-Jul-19,-0.228
2-Jul-19,-0.1866
3-Jul-19,0.2767
4-Jul-19,0.7767
9-Jul-19,0.3112
10-Jul-19,-0.2591
11-Jul-19,-0.2108
12-Jul-19,0.1703
17-Jul-19,0.182866667
18-Jul-19,-0.031
24-Jul-19,0.596
26-Jul-19,-0.0065
27-Jul-19,0.0781
28-Jul-19,0.3643
31-Jul-19,0.4954
5-Aug-19,0.445
8-Aug-19,0.5418
14-Aug-19,0.278033333
15-Aug-19,0.0833
19-Aug-19,0.0384
22-Aug-19,-0.0722
26-Aug-19,0.2281
27-Aug-19,0.6386
3-Sep-19,0.1275
4-Sep-19,0.4633
6-Sep-19,0.767
9-Sep-19,0.28605
10-Sep-19,0.26585
11-Sep-19,0.3315
12-Sep-19,0.163075
13-Sep-19,0.431
16-Sep-19,0.3851
17-Sep-19,0.5033
18-Sep-19,0.310733333
19-Sep-19,0.2343
21-Sep-19,0.48935
26-Sep-19,-0.1875
27-Sep-19,-0.049
28-Sep-19,0.2874
1-Oct-19,0.309
2-Oct-19,0.1543
6-Oct-19,0.1387
7-Oct-19,0.20015
14-Oct-19,0.153
17-Oct-19,0.4123
18-Oct-19,0.4964
20-Oct-19,-0.0179
22-Oct-19,-0.2428
23-Oct-19,-0.0753
24-Oct-19,0.4971
27-Oct-19,0.4864
28-Oct-19,-0.0363
31-Oct-19,0.364975
4-Nov-19,0.3976
6-Nov-19,0.3711
8-Nov-19,0.0486
11-Nov-19,0.2381
12-Nov-19,0.0158
13-Nov-19,0.6665
14-Nov-19,0.099
18-Nov-19,0.4131
21-Nov-19,0.5155
22-Nov-19,-0.1241
25-Nov-19,0.7243
26-Nov-19,0.4954
27-Nov-19,0.4971
29-Nov-19,0.3822
30-Nov-19,0.4905
1-Dec-19,0.4274
2-Dec-19,-0.2034
3-Dec-19,0.2609
5-Dec-19,0.1527
6-Dec-19,0.68485
8-Dec-19,0.2092
9-Dec-19,0.1197
11-Dec-19,0.377
12-Dec-19,0.35126
13-Dec-19,0.299883333
14-Dec-19,-0.0705
16-Dec-19,-0.1192
17-Dec-19,0.2641
21-Dec-19,0.6551
28-Dec-19,0.4954
30-Dec-19,0.4821
31-Dec-19,0.0195
3-Jan-20,0.1541
5-Jan-20,0.2771
6-Jan-20,0.3677
7-Jan-20,0.0024
8-Jan-20,0.5019
9-Jan-20,-0.0915
12-Jan-20,0.2241
13-Jan-20,0.5837
15-Jan-20,-0.1967
17-Jan-20,-0.1866
21-Jan-20,0.0384
22-Jan-20,0.0185
28-Jan-20,-0.3518
29-Jan-20,0.4954
30-Jan-20,0.0337
3-Feb-20,0.0563
4-Feb-20,-0.412
5-Feb-20,0.218166667
9-Feb-20,0.2466
15-Feb-20,0.3635
19-Feb-20,0.606
21-Feb-20,-0.08585
22-Feb-20,0.4223
24-Feb-20,0.5228
25-Feb-20,0.6051
26-Feb-20,0.1507
2-Mar-20,-0.2515
5-Mar-20,0.2424
7-Mar-20,0.8906
11-Mar-20,0.0329
12-Mar-20,0.563333333
13-Mar-20,0.094777778
