date,score
2-Jan-19,-0.057075
3-Jan-19,0.0215
4-Jan-19,0.30061
7-Jan-19,0.279871429
8-Jan-19,0.1562
9-Jan-19,0.168628571
10-Jan-19,0.2966
11-Jan-19,0.456366667
12-Jan-19,-0.1259
14-Jan-19,0.3741
15-Jan-19,0.04965
16-Jan-19,0.22666
17-Jan-19,0.6192
18-Jan-19,0.48314
21-Jan-19,0.5562
22-Jan-19,0.09742
23-Jan-19,0.1835
24-Jan-19,0.206
25-Jan-19,0.29175
27-Jan-19,-0.1063
28-Jan-19,-0.07585
29-Jan-19,0.082325
30-Jan-19,0.2365
31-Jan-19,0.2516
1-Feb-19,0.264566667
4-Feb-19,0.283366667
5-Feb-19,0.257475
6-Feb-19,0.0283
7-Feb-19,-0.2118
8-Feb-19,-0.135233333
10-Feb-19,0.14965
11-Feb-19,0.337933333
12-Feb-19,0.47335
13-Feb-19,0.122066667
14-Feb-19,0.03
15-Feb-19,0.39902
19-Feb-19,0.6277
20-Feb-19,0.2969
21-Feb-19,0.107725
22-Feb-19,0.5453
25-Feb-19,0.3999
26-Feb-19,-0.074
27-Feb-19,0.220925
28-Feb-19,-0.09958
1-Mar-19,0.406
4-Mar-19,0.293333333
5-Mar-19,0.4738
6-Mar-19,-0.1482
7-Mar-19,0.138533333
8-Mar-19,0.12444
11-Mar-19,0.4894
12-Mar-19,-0.008666667
13-Mar-19,0.0345625
14-Mar-19,-0.2716
15-Mar-19,0.201733333
16-Mar-19,0.6923
18-Mar-19,-0.1481
19-Mar-19,-0.045528571
20-Mar-19,-0.237014286
21-Mar-19,-0.071485714
22-Mar-19,-0.23592
23-Mar-19,-0.3023
25-Mar-19,-0.01156
26-Mar-19,0.002066667
27-Mar-19,0.0011
28-Mar-19,0.4765
29-Mar-19,0.28815
30-Mar-19,0.166
1-Apr-19,0.531575
3-Apr-19,0.64085
5-Apr-19,0.24325
8-Apr-19,0.16585
9-Apr-19,0.28745
10-Apr-19,0.0664
11-Apr-19,-0.0311
12-Apr-19,0.4596
14-Apr-19,0.5733
15-Apr-19,0.01
16-Apr-19,0.256066667
17-Apr-19,0.7024
18-Apr-19,0.33095
20-Apr-19,-0.3156
23-Apr-19,0.0932
24-Apr-19,-0.4367
25-Apr-19,0.0479
26-Apr-19,0.4967
27-Apr-19,0.0015
30-Apr-19,0.6497
1-May-19,-0.1304
2-May-19,-0.08565
9-May-19,0.0349
10-May-19,-0.1875
16-May-19,0.30285
18-May-19,0.0711
22-May-19,-0.439
23-May-19,0.4661
24-May-19,-0.6929
28-May-19,-0.071833333
29-May-19,-0.5857
31-May-19,-0.0399
1-Jun-19,-0.3726
2-Jun-19,0.1875
3-Jun-19,-0.024066667
4-Jun-19,0.737
5-Jun-19,0.5144
6-Jun-19,-0.1866
7-Jun-19,0.1223
8-Jun-19,-0.3057
14-Jun-19,-0.1866
16-Jun-19,-0.353
17-Jun-19,-0.2404
18-Jun-19,0.1978
19-Jun-19,-0.0694
21-Jun-19,0.0436
24-Jun-19,-0.00875
25-Jun-19,0.5133
27-Jun-19,-0.1473
2-Jul-19,-0.1875
5-Jul-19,0.0528
9-Jul-19,0.6394
10-Jul-19,-0.1866
11-Jul-19,0.2543
15-Jul-19,0.1128
16-Jul-19,0.6275
17-Jul-19,-0.2845
18-Jul-19,0.0551
19-Jul-19,0.5302
20-Jul-19,0.066
25-Jul-19,0.3895
26-Jul-19,-0.08625
30-Jul-19,0.3867
31-Jul-19,0.204
3-Aug-19,-0.272
5-Aug-19,0.0375
6-Aug-19,-0.2642
8-Aug-19,0.7221
9-Aug-19,0.5396
13-Aug-19,-0.1042
14-Aug-19,-0.2135
16-Aug-19,-0.6374
19-Aug-19,-0.1285
20-Aug-19,0.2833
21-Aug-19,-0.09275
26-Aug-19,0.6595
29-Aug-19,0.51955
30-Aug-19,-0.2977
3-Sep-19,-0.1126
4-Sep-19,0.49615
5-Sep-19,0.4816
6-Sep-19,0.086
9-Sep-19,0.28
10-Sep-19,-0.4272
11-Sep-19,0.2816
16-Sep-19,-0.2515
17-Sep-19,0.1811
19-Sep-19,0.4957
23-Sep-19,-0.0188
24-Sep-19,0.0802
25-Sep-19,0.2233
3-Oct-19,0.1695
10-Oct-19,-0.0966
14-Oct-19,-0.3664
18-Oct-19,-0.2515
20-Oct-19,0.3028
21-Oct-19,-0.4555
24-Oct-19,0.2539
26-Oct-19,-0.3455
28-Oct-19,0.446233333
29-Oct-19,0.4169
31-Oct-19,0.3831
8-Nov-19,0.0368
12-Nov-19,-0.0966
15-Nov-19,0.2624
24-Nov-19,0.253
2-Dec-19,0.5636
10-Dec-19,-0.0606
12-Dec-19,0.907
17-Dec-19,0.4971
18-Dec-19,0.1392
26-Dec-19,0.0923
27-Dec-19,0.0984
30-Dec-19,0.0944
2-Jan-20,0.7827
3-Jan-20,0.0865
6-Jan-20,0.5674
7-Jan-20,0.7471
9-Jan-20,0.3675
10-Jan-20,0.02855
11-Jan-20,0.1057
13-Jan-20,0.0551
22-Jan-20,-0.3723
30-Jan-20,-0.0966
31-Jan-20,0.7483
7-Feb-20,-0.1866
10-Feb-20,0.0438
11-Feb-20,0.5358
